"title","summary","sector","stage","targetAmount","currency","problem_statement","problem_targetMarket","problem_marketSize","solution_description","solution_uniqueValue","solution_competitiveAdvantage","businessModel_revenueStreams","businessModel_pricingStrategy","businessModel_customerAcquisition","financials_currentRevenue","financials_projectedRevenue","financials_burnRate","financials_runway","status"
"FarmLink Kenya","Improves healthcare efficiency by 65% for over 71,032 businesses in Kenya","technology","idea","3271109","USD","23% of healthcare operations in Kenya remain manual, causing $9.0B in annual losses","retail distributors in Nairobi","$19.9B addressable market in Kenya and neighboring regions","Blockchain-backed verification engine for secure cross-border transactions","3x cheaper than regional competitors with 3 patents filed","Exclusive partnership with Kenya industry associations and 3-year data advantage","$181/month SaaS subscription plus 1.0% transaction fee","$878 onboarding fee plus tiered monthly plans","Direct B2B sales through cooperatives and 7 signed enterprise LOIs","$60,000 ARR","$14.7M ARR by Year 2","$26,000/month","19 months","approved"
"GridPulse Egypt","Improves retail efficiency by 31% for over 64,880 businesses in Egypt","healthcare","mvp","12545189","USD","Hospitals in Cairo spend 23% more on logistics due to fragmented procurement systems, wasting $5.1B yearly","smallholder farmers in Cairo","$20.9B addressable market in Egypt and neighboring regions","IoT-enabled monitoring system with SMS alerts and predictive maintenance","2x cheaper than regional competitors with 3 patents filed","Exclusive partnership with Egypt industry associations and 1-year data advantage","$190/month SaaS subscription plus 4.8% transaction fee","$366 onboarding fee plus tiered monthly plans","Direct B2B sales through cooperatives and 2 signed enterprise LOIs","$44,000 ARR","$20.0M ARR by Year 5","$54,000/month","20 months","approved"
"VisionHub Uganda","Improves manufacturing efficiency by 51% for over 48,738 businesses in Uganda","fintech","early-revenue","6790219","USD","21% of produce in Uganda spoils before reaching market, costing suppliers $1.8B annually","smallholder farmers in Kampala","$7.8B addressable market in Uganda and neighboring regions","Blockchain-backed verification engine for secure cross-border transactions","3x cheaper than regional competitors with 6 patents filed","Exclusive partnership with Uganda industry associations and 1-year data advantage","$72/month SaaS subscription plus 2.4% transaction fee","$744 onboarding fee plus tiered monthly plans","Direct B2B sales through cooperatives and 11 signed enterprise LOIs","$145,000 ARR","$13.0M ARR by Year 3","$77,000/month","21 months","approved"
"RetailPulse Egypt","Improves supply chain efficiency by 50% for over 62,047 businesses in Egypt","education","scaling","18449204","USD","64% of SMEs in Egypt lack access to affordable financing, leaving a $1.4B funding gap","manufacturing firms in Cairo","$19.0B addressable market in Egypt and neighboring regions","Blockchain-backed verification engine for secure cross-border transactions","3x cheaper than regional competitors with 6 patents filed","Exclusive partnership with Egypt industry associations and 4-year data advantage","$121/month SaaS subscription plus 1.7% transaction fee","$799 onboarding fee plus tiered monthly plans","Direct B2B sales through cooperatives and 5 signed enterprise LOIs","$130,000 ARR","$16.3M ARR by Year 3","$74,000/month","10 months","approved"
"SolarHub Tanzania","Improves retail efficiency by 57% for over 17,108 businesses in Tanzania","agriculture","idea","19501561","USD","63% of SMEs in Tanzania lack access to affordable financing, leaving a $3.6B funding gap","SMEs in Dar es Salaam","$8.3B addressable market in Tanzania and neighboring regions","AI-powered analytics platform with automated reporting and mobile dashboards","3x cheaper than regional competitors with 7 patents filed","Exclusive partnership with Tanzania industry associations and 4-year data advantage","$196/month SaaS subscription plus 2.3% transaction fee","$806 onboarding fee plus tiered monthly plans","Direct B2B sales through cooperatives and 3 signed enterprise LOIs","$0 pre-revenue","$10.3M ARR by Year 4","$55,000/month","24 months","approved"
"MediSync Global","Improves agriculture efficiency by 25% for over 86,829 businesses in Global","energy","mvp","15958216","USD","40% of produce in Global spoils before reaching market, costing suppliers $6.9B annually","manufacturing firms in global markets","$9.2B addressable market in Global and neighboring regions","AI-powered analytics platform with automated reporting and mobile dashboards","4x cheaper than regional competitors with 1 patents filed","Exclusive partnership with Global industry associations and 3-year data advantage","$82/month SaaS subscription plus 3.0% transaction fee","$83 onboarding fee plus tiered monthly plans","Direct B2B sales through cooperatives and 11 signed enterprise LOIs","$102,000 ARR","$8.9M ARR by Year 4","$53,000/month","9 months","approved"
"ChainTrack Ethiopia","Improves healthcare efficiency by 69% for over 28,059 businesses in Ethiopia","real_estate","early-revenue","5182763","USD","67% of produce in Ethiopia spoils before reaching market, costing suppliers $1.3B annually","SMEs in Addis Ababa","$3.1B addressable market in Ethiopia and neighboring regions","AI-powered analytics platform with automated reporting and mobile dashboards","4x cheaper than regional competitors with 6 patents filed","Exclusive partnership with Ethiopia industry associations and 4-year data advantage","$58/month SaaS subscription plus 3.6% transaction fee","$700 onboarding fee plus tiered monthly plans","Direct B2B sales through cooperatives and 12 signed enterprise LOIs","$61,000 MRR","$5.2M ARR by Year 3","$66,000/month","23 months","approved"
"DataSync South Africa","Improves agriculture efficiency by 34% for over 17,286 businesses in South Africa","manufacturing","scaling","8491172","USD","Hospitals in Cape Town spend 59% more on logistics due to fragmented procurement systems, wasting $6.6B yearly","retail distributors in Cape Town","$7.8B addressable market in South Africa and neighboring regions","Blockchain-backed verification engine for secure cross-border transactions","5x cheaper than regional competitors with 6 patents filed","Exclusive partnership with South Africa industry associations and 1-year data advantage","$39/month SaaS subscription plus 2.4% transaction fee","$912 onboarding fee plus tiered monthly plans","Direct B2B sales through cooperatives and 4 signed enterprise LOIs","$54,000 ARR","$12.2M ARR by Year 2","$31,000/month","13 months","approved"
"SecureSync Uganda","Improves manufacturing efficiency by 67% for over 45,090 businesses in Uganda","retail","idea","8299690","USD","44% of SMEs in Uganda lack access to affordable financing, leaving a $3.5B funding gap","retail distributors in Kampala","$8.6B addressable market in Uganda and neighboring regions","AI-powered analytics platform with automated reporting and mobile dashboards","3x cheaper than regional competitors with 3 patents filed","Exclusive partnership with Uganda industry associations and 1-year data advantage","$43/month SaaS subscription plus 2.2% transaction fee","$596 onboarding fee plus tiered monthly plans","Direct B2B sales through cooperatives and 4 signed enterprise LOIs","$71,000 MRR","$18.9M ARR by Year 4","$50,000/month","17 months","approved"
"BuildCloud Nigeria","Improves retail efficiency by 45% for over 86,078 businesses in Nigeria","other","mvp","5760133","USD","Hospitals in Lagos spend 63% more on logistics due to fragmented procurement systems, wasting $2.2B yearly","smallholder farmers in Lagos","$8.6B addressable market in Nigeria and neighboring regions","AI-powered analytics platform with automated reporting and mobile dashboards","5x cheaper than regional competitors with 6 patents filed","Exclusive partnership with Nigeria industry associations and 2-year data advantage","$198/month SaaS subscription plus 4.9% transaction fee","$767 onboarding fee plus tiered monthly plans","Direct B2B sales through cooperatives and 14 signed enterprise LOIs","$45,000 MRR","$10.5M ARR by Year 4","$44,000/month","9 months","approved"
"FarmPro Kenya","Improves agriculture efficiency by 61% for over 75,634 businesses in Kenya","technology","early-revenue","18591598","USD","41% of agriculture operations in Kenya remain manual, causing $8.1B in annual losses","smallholder farmers in Nairobi","$7.2B addressable market in Kenya and neighboring regions","IoT-enabled monitoring system with SMS alerts and predictive maintenance","5x cheaper than regional competitors with 3 patents filed","Exclusive partnership with Kenya industry associations and 1-year data advantage","$29/month SaaS subscription plus 3.7% transaction fee","$937 onboarding fee plus tiered monthly plans","Direct B2B sales through cooperatives and 2 signed enterprise LOIs","$91,000 ARR","$18.9M ARR by Year 2","$22,000/month","13 months","approved"
