title,summary,sector,stage,targetAmount,currency,problem_statement,problem_targetMarket,problem_marketSize,solution_description,solution_uniqueValue,solution_competitiveAdvantage,businessModel_revenueStreams,businessModel_pricingStrategy,businessModel_customerAcquisition,financials_currentRevenue,financials_projectedRevenue,financials_burnRate,financials_runway,status
GraniteMetrics,"GraniteMetrics operates a workflow platform used by commercial property groups responsible for maintenance dispatching. Capital from the current round is allocated toward integration support, implementation staffing, and account expansion activity.",edtech,pre-seed,4477635,SGD,Teams handling maintenance dispatching often rely on fragmented operational processes requiring repeated reconciliation between internal systems and external service providers.,commercial property groups,$54.4B annual operating market across 7 regions,"The platform consolidates operational records associated with maintenance dispatching, synchronizes data across connected systems, and maintains configurable reporting controls.",The deployment architecture supports phased onboarding across distributed customer operating environments.,Customer deployments are managed through standardized implementation procedures across account operating environments.,Recurring software subscriptions; onboarding retainers; reporting modules,Customers are billed through annual contracts aligned with usage activity and implementation requirements.,"Customer acquisition relies on procurement referrals, implementation partners, and direct enterprise sales activity.",1366698,18027710,195290,9 months,rejected
PioneerPilot,"PioneerPilot develops operational software for retail distribution chains managing vendor reconciliation. The current financing round supports deployment capacity, onboarding operations, and implementation coverage across additional markets.",saas,series-a,4571515,USD,"Operational groups managing vendor reconciliation typically lack centralized visibility across reporting environments, vendor records, and implementation workflows.",retail distribution chains,$69.3B annual operating market across 18 regions,"The software standardizes workflows related to vendor reconciliation while supporting audit visibility, role-based access management, and operational tracking.",The implementation framework maintains configurable workflow rules across customer operating environments.,The implementation framework supports staged account onboarding across distributed operational environments.,Usage-based billing; workflow modules; deployment support services,Pricing combines recurring subscription commitments with onboarding and reporting service charges.,"The company sources accounts through regional implementation partners, outbound sales outreach, and executive referral networks.",1277726,17944633,278464,7 months,rejected
VectorMetrics,"VectorMetrics develops operational software for warehouse operators managing tenant onboarding. The current financing round supports deployment capacity, onboarding operations, and implementation coverage across additional markets.",logistics,pre-seed,3164709,SGD,"Operational groups managing tenant onboarding typically lack centralized visibility across reporting environments, vendor records, and implementation workflows.",warehouse operators,$8.0B annual operating market across 20 regions,The product centralizes operational coordination associated with tenant onboarding into a unified management environment with configurable workflow logic.,The implementation framework maintains configurable workflow rules across customer operating environments.,Customer deployments are managed through standardized implementation procedures across account operating environments.,Usage-based billing; workflow modules; deployment support services,Pricing combines recurring subscription commitments with onboarding and reporting service charges.,"The company sources accounts through regional implementation partners, outbound sales outreach, and executive referral networks.",2047340,24411376,764449,5 months,rejected
SummitCloud,"SummitCloud develops operational software for independent legal practices managing compliance tracking. The current financing round supports deployment capacity, onboarding operations, and implementation coverage across additional markets.",edtech,series-a,3030824,EUR,"Organizations responsible for compliance tracking frequently coordinate activity across disconnected systems, vendor portals, and manual reporting workflows.",independent legal practices,$87.3B annual operating market across 9 regions,"The software standardizes workflows related to compliance tracking while supporting audit visibility, role-based access management, and operational tracking.",The deployment architecture supports phased onboarding across distributed customer operating environments.,Customer deployments are managed through standardized implementation procedures across account operating environments.,Recurring software subscriptions; onboarding retainers; reporting modules,Pricing combines recurring subscription commitments with onboarding and reporting service charges.,"The company sources accounts through regional implementation partners, outbound sales outreach, and executive referral networks.",2348742,24807727,217592,4 months,rejected
ApexMetrics,"ApexMetrics operates a workflow platform used by multi-campus training institutes responsible for vendor reconciliation. Capital from the current round is allocated toward integration support, implementation staffing, and account expansion activity.",healthtech,series-a,2885858,USD,"Operational groups managing vendor reconciliation typically lack centralized visibility across reporting environments, vendor records, and implementation workflows.",multi-campus training institutes,$84.9B annual operating market across 6 regions,The product centralizes operational coordination associated with vendor reconciliation into a unified management environment with configurable workflow logic.,The software includes configurable controls aligned with procurement and reporting requirements.,Customer deployments are managed through standardized implementation procedures across account operating environments.,Annual platform agreements; implementation services; support contracts,Customers are billed through annual contracts aligned with usage activity and implementation requirements.,"The company sources accounts through regional implementation partners, outbound sales outreach, and executive referral networks.",1610313,21817138,679603,7 months,rejected
PioneerLogic,"PioneerLogic develops operational software for multi-campus training institutes managing claims intake. The current financing round supports deployment capacity, onboarding operations, and implementation coverage across additional markets.",saas,series-a,2682789,SGD,Teams handling claims intake often rely on fragmented operational processes requiring repeated reconciliation between internal systems and external service providers.,multi-campus training institutes,$36.5B annual operating market across 6 regions,"The platform consolidates operational records associated with claims intake, synchronizes data across connected systems, and maintains configurable reporting controls.",The platform supports integration with operational systems commonly used across secondary regional markets.,Deployment operations follow a structured onboarding process across customer operating environments with phased implementation support during rollout.,Annual platform agreements; implementation services; support contracts,"Commercial agreements are indexed to deployment scope, transaction activity, and active operating locations.","Customer acquisition relies on procurement referrals, implementation partners, and direct enterprise sales activity.",2033644,22276134,619640,9 months,rejected
PioneerLedger,PioneerLedger provides enterprise software focused on tenant onboarding for independent legal practices. The company is raising funding to support regional deployment operations and commercial onboarding capacity.,healthtech,pre-seed,9375230,SGD,"Organizations responsible for tenant onboarding frequently coordinate activity across disconnected systems, vendor portals, and manual reporting workflows.",independent legal practices,$76.3B annual operating market across 22 regions,The product centralizes operational coordination associated with tenant onboarding into a unified management environment with configurable workflow logic.,The software includes configurable controls aligned with procurement and reporting requirements.,The implementation framework supports staged account onboarding across distributed operational environments.,Recurring software subscriptions; onboarding retainers; reporting modules,"Commercial agreements are indexed to deployment scope, transaction activity, and active operating locations.","Commercial growth is supported through pilot deployments, sector conferences, and referral relationships.",856618,13400134,572342,7 months,rejected
ApexGrid,"ApexGrid operates a workflow platform used by independent legal practices responsible for maintenance dispatching. Capital from the current round is allocated toward integration support, implementation staffing, and account expansion activity.",cleantech,seed,1190386,EUR,Teams handling maintenance dispatching often rely on fragmented operational processes requiring repeated reconciliation between internal systems and external service providers.,independent legal practices,$37.3B annual operating market across 14 regions,"The platform consolidates operational records associated with maintenance dispatching, synchronizes data across connected systems, and maintains configurable reporting controls.",The implementation framework maintains configurable workflow rules across customer operating environments.,Deployment operations follow a structured onboarding process across customer operating environments with phased implementation support during rollout.,Recurring software subscriptions; onboarding retainers; reporting modules,"Commercial agreements are indexed to deployment scope, transaction activity, and active operating locations.","Commercial growth is supported through pilot deployments, sector conferences, and referral relationships.",80552,5614003,87526,19 months,approved
AtlasPilot,"AtlasPilot develops operational software for urban transport contractors managing credential verification. The current financing round supports deployment capacity, onboarding operations, and implementation coverage across additional markets.",legaltech,pre-seed,9288540,AED,"Operational groups managing credential verification typically lack centralized visibility across reporting environments, vendor records, and implementation workflows.",urban transport contractors,$79.3B annual operating market across 14 regions,"The platform consolidates operational records associated with credential verification, synchronizes data across connected systems, and maintains configurable reporting controls.",The deployment architecture supports phased onboarding across distributed customer operating environments.,The implementation framework supports staged account onboarding across distributed operational environments.,Usage-based billing; workflow modules; deployment support services,Pricing combines recurring subscription commitments with onboarding and reporting service charges.,"The company sources accounts through regional implementation partners, outbound sales outreach, and executive referral networks.",1559978,24681260,209786,6 months,rejected
SignalPilot,"SignalPilot develops operational software for commercial property groups managing maintenance dispatching. The current financing round supports deployment capacity, onboarding operations, and implementation coverage across additional markets.",saas,pre-seed,1089905,AED,"Organizations responsible for maintenance dispatching frequently coordinate activity across disconnected systems, vendor portals, and manual reporting workflows.",commercial property groups,$25.6B annual operating market across 15 regions,"The platform consolidates operational records associated with maintenance dispatching, synchronizes data across connected systems, and maintains configurable reporting controls.",The software includes configurable controls aligned with procurement and reporting requirements.,Deployment operations follow a structured onboarding process across customer operating environments with phased implementation support during rollout.,Annual platform agreements; implementation services; support contracts,Customers are billed through annual contracts aligned with usage activity and implementation requirements.,"Commercial growth is supported through pilot deployments, sector conferences, and referral relationships.",1245062,4804925,73087,27 months,approved
