title,summary,sector,stage,targetAmount,currency,problem_statement,problem_targetMarket,problem_marketSize,solution_description,solution_uniqueValue,solution_competitiveAdvantage,businessModel_revenueStreams,businessModel_pricingStrategy,businessModel_customerAcquisition,financials_currentRevenue,financials_projectedRevenue,financials_burnRate,financials_runway,status
IronBridge,IronBridge develops operational software for mid-sized law firms managing contract review. The company is raising capital to expand enterprise integrations and scale regional sales operations.,saas,idea,4876272,SGD,"Independent mid-sized law firms rely on fragmented contract review workflows, resulting in delayed reporting cycles and unresolved transaction discrepancies.",mid-sized law firms,$73.1B estimated annual addressable spend across 6 national markets,"IronBridge provides a cloud platform that centralizes contract review, connects external data feeds, and automates exception handling through configurable workflows.",Native integrations with regional financial and regulatory systems reduce migration friction for enterprise clients.,Multi-year integration relationships with incumbent vendors create switching barriers for competing entrants.,Annual platform subscriptions; implementation services; support retainers,Usage-based pricing indexed to transaction activity and storage requirements.,Pilot deployments with anchor customers; sector trade events; executive referrals,1699394,5098182,323370,19 months,approved
ApexSystems,ApexSystems is preparing a commercial platform connected to claims intake within the proptech sector and is seeking funding to complete product development and marketing activities.,proptech,seed,5584746,AED,Businesses involved in claims intake often mention administrative inefficiencies but purchasing priorities remain inconsistent.,insurance brokers,Internal assumptions suggest broad demand among digital businesses,ApexSystems plans to introduce a platform related to claims intake with a combination of automation features and reporting tools for commercial users.,Deployment architecture supports intermittent connectivity environments common across secondary markets.,Management believes the market remains open to new entrants without significant barriers.,Annual platform subscriptions; implementation services; support retainers,Enterprise licensing agreements negotiated on multi-year procurement cycles.,Direct procurement outreach; channel reseller agreements; referral incentives,8121,13154347,435497,6 months,rejected
PeakLabs,PeakLabs is preparing a commercial platform connected to inventory forecasting within the cleantech sector and is seeking funding to complete product development and marketing activities.,cleantech,pre-seed,5021641,USD,"The current environment around inventory forecasting appears difficult for some operators, though quantitative benchmarks are limited.",retail distributors,Leadership expects long-term expansion as adoption of software tools increases,PeakLabs plans to introduce a platform related to inventory forecasting with a combination of automation features and reporting tools for commercial users.,Native integrations with regional financial and regulatory systems reduce migration friction for enterprise clients.,The business intends to establish brand recognition following product launch activities.,Transaction commissions; enterprise licensing; compliance reporting services,Usage-based pricing indexed to transaction activity and storage requirements.,Direct procurement outreach; channel reseller agreements; referral incentives,0,64708365,509762,4 months,rejected
OakCloud,OakCloud is preparing a commercial platform connected to claims intake within the fintech sector and is seeking funding to complete product development and marketing activities.,fintech,idea,210562,SGD,"insurance brokers face ongoing coordination challenges related to claims intake, although the scale of the issue varies across regions.",insurance brokers,Management estimates the market opportunity to be substantial across multiple regions,OakCloud plans to introduce a platform related to claims intake with a combination of automation features and reporting tools for commercial users.,Native integrations with regional financial and regulatory systems reduce migration friction for enterprise clients.,Management believes the market remains open to new entrants without significant barriers.,Subscription contracts; onboarding fees; API access charges,Enterprise licensing agreements negotiated on multi-year procurement cycles.,Pilot deployments with anchor customers; sector trade events; executive referrals,0,26455990,213001,4 months,rejected
NorthBridge,NorthBridge is preparing a commercial platform connected to crop procurement tracking within the agritech sector and is seeking funding to complete product development and marketing activities.,agritech,pre-seed,2886035,EUR,"grain cooperatives face ongoing coordination challenges related to crop procurement tracking, although the scale of the issue varies across regions.",grain cooperatives,Management estimates the market opportunity to be substantial across multiple regions,NorthBridge plans to introduce a platform related to crop procurement tracking with a combination of automation features and reporting tools for commercial users.,Historical benchmarking data collected from pilot customers enables risk scoring unavailable through standard ERP systems.,Management believes the market remains open to new entrants without significant barriers.,Usage-based billing; premium analytics modules; integration retainers,Usage-based pricing indexed to transaction activity and storage requirements.,Targeted account-based marketing; implementation partners; compliance webinars,0,9216133,284770,2 months,rejected
GraniteHealth,GraniteHealth is preparing a commercial platform connected to tenant documentation within the saas sector and is seeking funding to complete product development and marketing activities.,saas,series-a,2197593,EUR,"The current environment around tenant documentation appears difficult for some operators, though quantitative benchmarks are limited.",property managers,Leadership expects long-term expansion as adoption of software tools increases,GraniteHealth plans to introduce a platform related to tenant documentation with a combination of automation features and reporting tools for commercial users.,The platform incorporates sector-specific compliance workflows rarely supported by horizontal software vendors.,The company expects product flexibility to support future differentiation as the market evolves.,Subscription contracts; onboarding fees; API access charges,Tiered annual contracts priced according to active accounts and processing volume.,Pilot deployments with anchor customers; sector trade events; executive referrals,7527,116530881,420173,6 months,rejected
SummitWorks,SummitWorks develops operational software for grain cooperatives managing crop procurement tracking. The company is raising capital to expand enterprise integrations and scale regional sales operations.,agritech,seed,2642450,SGD,"Companies handling crop procurement tracking lack integrated visibility across suppliers, regulators, and internal systems, creating avoidable operational costs.",grain cooperatives,$46.7B estimated annual addressable spend across 21 national markets,"SummitWorks provides a cloud platform that centralizes crop procurement tracking, connects external data feeds, and automates exception handling through configurable workflows.",Deployment architecture supports intermittent connectivity environments common across secondary markets.,The founding team previously managed operational infrastructure within the target industry and secured early reference accounts.,Usage-based billing; premium analytics modules; integration retainers,Enterprise licensing agreements negotiated on multi-year procurement cycles.,Pilot deployments with anchor customers; sector trade events; executive referrals,653584,2614336,335710,28 months,approved
NorthAnalytics,NorthAnalytics develops operational software for retail distributors managing inventory forecasting. The company is raising capital to expand enterprise integrations and scale regional sales operations.,cleantech,idea,1385530,EUR,"Independent retail distributors rely on fragmented inventory forecasting workflows, resulting in delayed reporting cycles and unresolved transaction discrepancies.",retail distributors,$67.9B estimated annual addressable spend across 18 national markets,"NorthAnalytics provides a cloud platform that centralizes inventory forecasting, connects external data feeds, and automates exception handling through configurable workflows.",The platform incorporates sector-specific compliance workflows rarely supported by horizontal software vendors.,Exclusive access to proprietary operational datasets improves forecasting accuracy during onboarding.,Usage-based billing; premium analytics modules; integration retainers,Tiered annual contracts priced according to active accounts and processing volume.,Targeted account-based marketing; implementation partners; compliance webinars,767666,3070664,131683,13 months,approved
VectorCloud,VectorCloud develops operational software for solar installers managing maintenance dispatch. The company is raising capital to expand enterprise integrations and scale regional sales operations.,ecommerce,idea,2998405,EUR,"Independent solar installers rely on fragmented maintenance dispatch workflows, resulting in delayed reporting cycles and unresolved transaction discrepancies.",solar installers,$50.0B estimated annual addressable spend across 3 national markets,"VectorCloud provides a cloud platform that centralizes maintenance dispatch, connects external data feeds, and automates exception handling through configurable workflows.",Historical benchmarking data collected from pilot customers enables risk scoring unavailable through standard ERP systems.,Existing distribution agreements with sector operators provide direct access to procurement teams across three countries.,Transaction commissions; enterprise licensing; compliance reporting services,Tiered annual contracts priced according to active accounts and processing volume.,Pilot deployments with anchor customers; sector trade events; executive referrals,406690,2846830,291685,20 months,approved
RedwoodBridge,RedwoodBridge develops operational software for property managers managing tenant documentation. The company is raising capital to expand enterprise integrations and scale regional sales operations.,fintech,pre-seed,463957,USD,"Independent property managers rely on fragmented tenant documentation workflows, resulting in delayed reporting cycles and unresolved transaction discrepancies.",property managers,$86.9B estimated annual addressable spend across 21 national markets,"RedwoodBridge provides a cloud platform that centralizes tenant documentation, connects external data feeds, and automates exception handling through configurable workflows.",Historical benchmarking data collected from pilot customers enables risk scoring unavailable through standard ERP systems.,The founding team previously managed operational infrastructure within the target industry and secured early reference accounts.,Annual platform subscriptions; implementation services; support retainers,Monthly subscription structure combined with one-time deployment charges.,Direct procurement outreach; channel reseller agreements; referral incentives,72258,361290,242659,24 months,approved
